rep_id,timestamp,yaw,pitch,roll,etiqueta
1,2684012.0,61.28,12.29,-8.07,correcto
1,2684022.0,61.28,12.31,-8.08,correcto
1,2684032.0,61.29,12.33,-8.1,correcto
1,2684042.0,61.3,12.34,-8.1,correcto
1,2684052.0,61.29,12.36,-8.1,correcto
1,2684062.0,61.28,12.36,-8.1,correcto
1,2684072.0,61.27,12.37,-8.09,correcto
1,2684083.0,61.26,12.37,-8.09,correcto
1,2684093.0,61.25,12.36,-8.08,correcto
1,2684103.0,61.23,12.34,-8.09,correcto
1,2684113.0,61.23,12.33,-8.1,correcto
1,2684123.0,61.22,12.32,-8.1,correcto
1,2684133.0,61.21,12.29,-8.11,correcto
1,2684143.0,61.19,12.27,-8.1,correcto
1,2684153.0,61.17,12.25,-8.11,correcto
1,2684163.0,61.15,12.22,-8.11,correcto
1,2684173.0,61.14,12.2,-8.12,correcto
1,2684183.0,61.12,12.18,-8.12,correcto
1,2684193.0,61.11,12.16,-8.13,correcto
1,2684203.0,61.1,12.14,-8.13,correcto
1,2684213.0,61.09,12.13,-8.13,correcto
1,2684223.0,61.08,12.14,-8.14,correcto
1,2684233.0,61.08,12.15,-8.14,correcto
1,2684243.0,61.07,12.16,-8.14,correcto
1,2684253.0,61.05,12.17,-8.14,correcto
1,2684263.0,61.04,12.18,-8.14,correcto
1,2684273.0,61.01,12.19,-8.13,correcto
1,2684283.0,61.0,12.19,-8.12,correcto
1,2684293.0,60.98,12.19,-8.11,correcto
1,2684303.0,60.98,12.2,-8.1,correcto
1,2684313.0,60.98,12.2,-8.1,correcto
1,2684323.0,60.99,12.21,-8.1,correcto
1,2684333.0,61.0,12.23,-8.11,correcto
1,2684343.0,61.01,12.24,-8.12,correcto
1,2684353.0,61.02,12.26,-8.13,correcto
1,2684363.0,61.03,12.27,-8.13,correcto
1,2684373.0,61.04,12.27,-8.13,correcto
1,2684383.0,61.04,12.28,-8.13,correcto
1,2684393.0,61.05,12.28,-8.13,correcto
1,2684403.0,61.06,12.28,-8.13,correcto
1,2684413.0,61.06,12.28,-8.13,correcto
1,2684423.0,61.07,12.27,-8.14,correcto
1,2684433.0,61.07,12.27,-8.13,correcto
1,2684443.0,61.09,12.25,-8.13,correcto
1,2684453.0,61.09,12.24,-8.13,correcto
1,2684463.0,61.11,12.22,-8.12,correcto
1,2684473.0,61.11,12.2,-8.12,correcto
1,2684483.0,61.11,12.2,-8.12,correcto
1,2684493.0,61.11,12.19,-8.12,correcto
1,2684503.0,61.11,12.19,-8.11,correcto
1,2684513.0,61.1,12.18,-8.1,correcto
1,2684523.0,61.09,12.18,-8.1,correcto
1,2684533.0,61.09,12.18,-8.1,correcto
1,2684543.0,61.09,12.18,-8.1,correcto
1,2684553.0,61.1,12.18,-8.11,correcto
1,2684563.0,61.12,12.19,-8.12,correcto
1,2684573.0,61.13,12.19,-8.15,correcto
1,2684583.0,61.13,12.18,-8.16,correcto
1,2684593.0,61.13,12.19,-8.16,correcto
1,2684603.0,61.13,12.19,-8.17,correcto
1,2684613.0,61.12,12.19,-8.18,correcto
1,2684623.0,61.12,12.2,-8.2,correcto
1,2684633.0,61.13,12.22,-8.21,correcto
1,2684643.0,61.14,12.25,-8.23,correcto
1,2684653.0,61.15,12.29,-8.25,correcto
1,2684663.0,61.16,12.32,-8.27,correcto
1,2684673.0,61.15,12.36,-8.27,correcto
1,2684683.0,61.13,12.39,-8.27,correcto
1,2684693.0,61.1,12.41,-8.27,correcto
1,2684704.0,61.08,12.41,-8.26,correcto
1,2684714.0,61.06,12.42,-8.23,correcto
1,2684724.0,61.05,12.43,-8.22,correcto
1,2684734.0,61.06,12.46,-8.22,correcto
1,2684744.0,61.08,12.51,-8.25,correcto
1,2684754.0,61.09,12.56,-8.3,correcto
1,2684764.0,61.06,12.59,-8.34,correcto
1,2684774.0,60.96,12.58,-8.35,correcto
1,2684784.0,60.77,12.54,-8.31,correcto
1,2684794.0,60.48,12.44,-8.23,correcto
1,2684804.0,60.08,12.23,-8.14,correcto
1,2684814.0,59.59,11.91,-8.03,correcto
1,2684824.0,59.05,11.48,-7.88,correcto
1,2684834.0,58.44,10.93,-7.71,correcto
1,2684844.0,57.79,10.25,-7.52,correcto
1,2684854.0,57.1,9.45,-7.31,correcto
1,2684864.0,56.39,8.51,-7.1,correcto
1,2684874.0,55.7,7.46,-6.9,correcto
1,2684884.0,55.03,6.24,-6.73,correcto
1,2684894.0,54.41,4.88,-6.6,correcto
1,2684904.0,53.83,3.38,-6.51,correcto
1,2684914.0,53.34,1.75,-6.45,correcto
1,2684924.0,52.94,0.05,-6.37,correcto
1,2684934.0,52.64,-1.73,-6.3,correcto
1,2684944.0,52.42,-3.57,-6.22,correcto
1,2684954.0,52.29,-5.49,-6.14,correcto
1,2684964.0,52.23,-7.5,-6.07,correcto
